Development,Address,City/State/ZIP,Interruption,Planned,Report Date,Report Time,Restoration Time,Buildings,Units,Residents
THROGGS NECK - Building 10,2770 DEWEY AVENUE,"BRONX, NY 10465",Hot Water,Planned,05/14/25,09:00 AM,05/14/25 05:02 PM,1,70,125
THROGGS NECK - Building 04,2761 SAMPSON AVENUE,"BRONX, NY 10465",Hot Water,Planned,05/13/25,09:00 AM,05/13/25 06:30 PM,1,70,114
THROGGS NECK - Building 03,2751 SAMPSON AVENUE,"BRONX, NY 10465",Hot Water,Planned,05/13/25,09:00 AM,05/13/25 06:04 PM,1,70,110
THROGGS NECK - Building 02,2743 SAMPSON AVENUE,"BRONX, NY 10465",Hot Water,Planned,05/12/25,09:00 AM,05/12/25 05:34 PM,1,18,43
THROGGS NECK - Entire Development,2731 SAMPSON AVENUE,"BRONX, NY 10465",Hot Water,Planned,05/06/25,09:00 AM,05/06/25 08:09 PM,34,"1,185","2,311"
THROGGS NECK - Entire Development,2731 SAMPSON AVENUE,"BRONX, NY 10465",Hot Water,Planned,05/05/25,09:00 AM,05/05/25 06:52 PM,34,"1,185","2,311"
THROGGS NECK - Entire Development,2731 SAMPSON AVENUE,"BRONX, NY 10465",Heat,Unplanned,04/11/25,10:38 AM,04/12/25 04:45 AM,34,"1,185","2,311"
THROGGS NECK - Entire Development,2731 SAMPSON AVENUE,"BRONX, NY 10465",Hot Water,Unplanned,04/11/25,10:38 AM,04/12/25 04:37 AM,34,"1,185","2,311"
THROGGS NECK,Sectional,,Hot Water,Unplanned,03/20/25,10:00 AM,03/20/25 03:56 PM,,,
THROGGS NECK,Sectional,,Heat,Unplanned,03/20/25,10:00 AM,03/20/25 03:12 PM,,,
THROGGS NECK - Entire Development,2731 SAMPSON AVENUE,"BRONX, NY 10465",Heat,Planned,03/19/25,09:00 AM,03/19/25 12:59 PM,34,"1,185","2,311"
THROGGS NECK - Entire Development,2731 SAMPSON AVENUE,"BRONX, NY 10465",Hot Water,Planned,03/19/25,09:00 AM,03/19/25 07:16 PM,34,"1,185","2,311"
THROGGS NECK - Building 29,2790 RANDALL AVENUE,"BRONX, NY 10465",Hot Water,Planned,03/14/25,09:00 AM,03/14/25 05:15 PM,1,65,108
THROGGS NECK,Sectional,,Heat,Unplanned,02/10/25,01:07 PM,02/10/25 08:52 PM,,,
THROGGS NECK,Sectional,,Hot Water,Unplanned,02/10/25,01:07 PM,02/10/25 08:41 PM,,,
THROGGS NECK ADDITION - Entire Development,680 BALCOM AVENUE,"BRONX, NY 10465",Hot Water,Unplanned,12/11/24,08:00 AM,12/11/24 08:04 PM,4,287,627
THROGGS NECK ADDITION - Building 30,680 BALCOM AVENUE,"BRONX, NY 10465",Hot Water,Planned,11/18/24,01:45 PM,11/18/24 11:48 PM,1,56,122
THROGGS NECK ADDITION - Entire Development,680 BALCOM AVENUE,"BRONX, NY 10465",Hot Water,Unplanned,10/25/24,09:00 AM,10/25/24 08:24 PM,4,287,627
THROGGS NECK ADDITION - Building 30,680 BALCOM AVENUE,"BRONX, NY 10465",Hot Water,Planned,05/06/25,09:30 AM,05/06/25 10:31 PM,1,56,122
